doi,title,publisher,year,abstract,volume,issue,page,issn_array,authors,total_cites,supporting_cites,mentioning_cites,contrasting_cites,num_citing_publications,num_source_practice_guidelines
10.1145/3430524.3442704,From ”Explainable AI” to ”Graspable AI”,ACM,2021,"Since the advent of Artificial Intelligence (AI) and Machine Learning (ML), researchers have asked how intelligent computing systems could interact with and relate to their users and their surroundings, leading to debates around issues of biased AI systems, ML black-box, user trust, user's perception of control over the system, and system's transparency, to name a few. All of these issues are related to how humans interact with AI or ML systems, through an interface which uses different interaction modalities. Prior studies address these issues from a variety of perspectives, spanning from understanding and framing the problems through ethics and Science and Technology Studies (STS) perspectives to finding effective technical solutions to the problems. But what is shared among almost all those efforts is an assumption that if systems can explain the how and why of their predictions, people will have a better perception of control and therefore will trust such systems more, and even can correct their shortcomings. This research field has been called Explainable AI (XAI). In this studio, we take stock on prior efforts in this area; however, we focus on using Tangible and Embodied Interaction (TEI) as an interaction modality for understanding ML. We note that the affordances of physical forms and their behaviors potentially can not only contribute to the explainability of ML systems, but also can contribute to an open environment for criticism. This studio seeks to both critique explainable ML terminology and to map the opportunities that TEI can offer to the HCI for designing more sustainable, graspable and just intelligent systems.",,,,[],"[{'given': 'Maliheh', 'orcid': None, 'family': 'Ghajargar', 'affiliation': 'Arts and Communication Malmö University, Sweden'}, {'given': 'Jeffrey', 'orcid': None, 'family': 'Bardzell', 'affiliation': 'College of Information Sciences and Technology The Pennsylvania State University, United States'}, {'given': 'Alison Smith', 'orcid': None, 'family': 'Renner', 'affiliation': 'Machine Learning Visualization Lab Decisive Analytics Corporation, United States'}, {'given': 'Peter Gall', 'orcid': None, 'family': 'Krogh', 'affiliation': 'Department of Enginering Aarhus University, Denmark'}, {'given': 'Kristina', 'orcid': None, 'family': 'Höök', 'affiliation': 'Media Technology and Interaction Design KTH Royal Institute of Technology, Sweden'}, {'given': 'David', 'orcid': None, 'family': 'Cuartielles', 'affiliation': 'Arts and Communication Malmö University, Sweden'}, {'given': 'Laurens', 'orcid': None, 'family': 'Boer', 'affiliation': 'IT University Copenhagen, Denmark'}, {'given': 'Mikael', 'orcid': None, 'family': 'Wiberg', 'affiliation': 'Dept of Informatics Umeå university, Sweden'}]",1,0,1,0,21,0
10.1145/3461778.3462131,"Who needs to know what, when?: Broadening the Explainable AI (XAI) Design Space by Looking at Explanations Across the AI Lifecycle",ACM,2021,,,,1591-1602,[],"[{'given': 'Shipi', 'orcid': None, 'family': 'Dhanorkar', 'affiliation': 'Pennsylvania State University, United States'}, {'given': 'Christine T.', 'orcid': None, 'family': 'Wolf', 'affiliation': 'Independent Researcher, United States'}, {'given': 'Kun', 'orcid': None, 'family': 'Qian', 'affiliation': 'Amazon.com, Inc., United States'}, {'given': 'Anbang', 'orcid': None, 'family': 'Xu', 'affiliation': 'IBM Research - Almaden, United States'}, {'given': 'Lucian', 'orcid': None, 'family': 'Popa', 'affiliation': 'IBM Research - Almaden, United States'}, {'given': 'Yunyao', 'orcid': None, 'family': 'Li', 'affiliation': 'Almaden Research Lab IBM Research, United States'}]",47,3,44,0,85,0
10.1145/3491101.3503727,Human-Centered Explainable AI (HCXAI): Beyond Opening the Black-Box of AI,ACM,2022,,,,1-7,[],"[{'given': 'Upol', 'orcid': None, 'family': 'Ehsan', 'affiliation': 'Interactive Computing, Georgia Institute of Technology, United States'}, {'given': 'Philipp', 'orcid': None, 'family': 'Wintersberger', 'affiliation': 'Institute of Visual Computing and Human-Centered Technology, TU Wien, Austria'}, {'given': 'Q. Vera', 'orcid': None, 'family': 'Liao', 'affiliation': 'Microsoft Research, Canada'}, {'given': 'Elizabeth Anne', 'orcid': None, 'family': 'Watkins', 'affiliation': 'Center for Information Technology Policy, Princeton University, United States'}, {'given': 'Carina', 'orcid': None, 'family': 'Manger', 'affiliation': 'Human-Computer Interaction Group, Technische Hochschule Ingolstadt, Germany'}, {'given': 'Hal', 'orcid': None, 'family': 'Daumé III', 'affiliation': 'University of Maryland, College Park, United States and Microsoft Research, New York City, USA'}, {'given': 'Andreas', 'orcid': None, 'family': 'Riener', 'affiliation': 'Human-Computer Interaction Group, Technische Hochschule Ingolstadt, Germany'}, {'given': 'Mark O', 'orcid': None, 'family': 'Riedl', 'affiliation': 'Georgia Tech, United States'}]",35,0,35,0,80,0
10.1145/3491102.3502104,Understanding the impact of explanations on advice-taking: a user study for AI-based clinical Decision Support Systems,ACM,2022,,,,1-9,[],"[{'given': 'Cecilia', 'orcid': None, 'family': 'Panigutti', 'affiliation': 'Scuola Normale Superiore, Italy and Computer Science, University of Pisa, Italy'}, {'given': 'Andrea', 'orcid': None, 'family': 'Beretta', 'affiliation': 'ISTI, CNR - Italian National Research Council, Italy'}, {'given': 'Fosca', 'orcid': None, 'family': 'Giannotti', 'affiliation': 'CNR - Italian National Research Council, Italy and Scuola Normale Superiore, Italy'}, {'given': 'Dino', 'orcid': None, 'family': 'Pedreschi', 'affiliation': 'Computer Science, University of Pisa, Italy'}]",34,3,31,0,95,0
10.1145/3514257,"An Agile New Research Framework for Hybrid Human-AI Teaming: Trust, Transparency, and Transferability",Association for Computing Machinery (ACM),2022,"We propose a new research framework by which the nascent discipline of human-AI teaming can be explored within experimental environments in preparation for transferal to real-world contexts. We examine the existing literature and unanswered research questions through the lens of an Agile approach to construct our proposed framework. Our framework aims to provide a structure for understanding the macro features of this research landscape, supporting holistic research into the acceptability of human-AI teaming to human team members and the affordances of AI team members. The framework has the potential to enhance decision-making and performance of hybrid human-AI teams. Further, our framework proposes the application of Agile methodology for research management and knowledge discovery. We propose a transferability pathway for hybrid teaming to be initially tested in a safe environment, such as a real-time strategy video game, with elements of lessons learned that can be transferred to real-world situations.",12,3,1-36,"['2160-6455', '2160-6463']","[{'given': 'Sabrina', 'orcid': None, 'family': 'Caldwell', 'affiliation': 'Australian National University, Canberra, ACT, Australia'}, {'given': 'Penny', 'orcid': '0000-0002-6543-557X', 'family': 'Sweetser', 'affiliation': 'Australian National University, Canberra, ACT, Australia'}, {'given': 'Nicholas', 'orcid': None, 'family': 'O’Donnell', 'affiliation': 'Queensland University of Technology, Brisbane City, QLD, Australia'}, {'given': 'Matthew J.', 'orcid': None, 'family': 'Knight', 'affiliation': 'Defence Science and Technology, Edinburgh, SA, Australia'}, {'given': 'Matthew', 'orcid': None, 'family': 'Aitchison', 'affiliation': 'Australian National University, Canberra, ACT, Australia'}, {'given': 'Tom', 'orcid': None, 'family': 'Gedeon', 'affiliation': 'Australian National University, Canberra, ACT, Australia'}, {'given': 'Daniel', 'orcid': None, 'family': 'Johnson', 'affiliation': 'Queensland University of Technology, Brisbane City, QLD, Australia'}, {'given': 'Margot', 'orcid': None, 'family': 'Brereton', 'affiliation': 'Queensland University of Technology, Brisbane City, QLD, Australia'}, {'given': 'Marcus', 'orcid': None, 'family': 'Gallagher', 'affiliation': 'University of Queensland, St Lucia, QLD, Australia'}, {'given': 'David', 'orcid': None, 'family': 'Conroy', 'affiliation': 'Queensland University of Technology, Brisbane City, QLD, Australia'}]",4,0,4,0,38,0
10.1145/3544548.3580959,What is Human-Centered about Human-Centered AI? A Map of the Research Landscape,ACM,2023,,,,1-23,[],"[{'given': 'Tara', 'orcid': '0000-0003-3260-0644', 'family': 'Capel', 'affiliation': 'School of Computer Science, Queensland University of Technology, Australia'}, {'given': 'Margot', 'orcid': '0000-0002-0982-3404', 'family': 'Brereton', 'affiliation': 'School of Computer Science, Queensland University of Technology, Australia'}]",14,0,14,0,88,0
10.1145/3544548.3581001,"""Help Me Help the AI"": Understanding How Explainability Can Support Human-AI Interaction",ACM,2023,,,,1-17,[],"[{'given': 'Sunnie S. Y.', 'orcid': None, 'family': 'Kim', 'affiliation': None}, {'given': 'Elizabeth Anne', 'orcid': None, 'family': 'Watkins', 'affiliation': None}, {'given': 'Olga', 'orcid': None, 'family': 'Russakovsky', 'affiliation': None}, {'given': 'Ruth', 'orcid': None, 'family': 'Fong', 'affiliation': None}, {'given': 'Andrés', 'orcid': None, 'family': 'Monroy-Hernández', 'affiliation': None}]",33,1,32,0,98,0
10.1145/3544549.3573832,Human-Centered Explainable AI (HCXAI): Coming of Age,ACM,2023,,,,1-7,[],"[{'given': 'Upol', 'orcid': '0000-0002-4911-0409', 'family': 'Ehsan', 'affiliation': 'Interactive Computing, Georgia Institute of Technology, United States'}, {'given': 'Philipp', 'orcid': '0000-0001-9287-3770', 'family': 'Wintersberger', 'affiliation': 'Department of Informatics, Communications and Media, University of Applied Sciences Upper Austria, Austria and Institute of Visual Computing and Human-Centered Technology, TU Wien, Austria'}, {'given': 'Elizabeth A', 'orcid': '0000-0002-1434-589X', 'family': 'Watkins', 'affiliation': 'Intelligent Systems Research (ISR), Intel Labs, United States'}, {'given': 'Carina', 'orcid': '0000-0002-9813-0051', 'family': 'Manger', 'affiliation': 'Human-Computer Interaction Group, Technische Hochschule Ingolstadt, Germany'}, {'given': 'Gonzalo', 'orcid': '0000-0003-4198-5021', 'family': 'Ramos', 'affiliation': 'Microsoft Research, United States'}, {'given': 'Justin D.', 'orcid': '0000-0003-2228-2398', 'family': 'Weisz', 'affiliation': 'IBM Research AI, United States'}, {'given': 'Hal', 'orcid': '0000-0002-3760-345X', 'family': 'Daumé Iii', 'affiliation': 'University of Maryland, United States'}, {'given': 'Andreas', 'orcid': '0000-0002-9174-8895', 'family': 'Riener', 'affiliation': 'Human-Computer Interaction Group, Technische Hochschule Ingolstadt, Germany'}, {'given': 'Mark O', 'orcid': '0000-0001-5283-6588', 'family': 'Riedl', 'affiliation': 'Georgia Tech, United States'}]",6,0,6,0,16,0
10.1145/3579467,Charting the Sociotechnical Gap in Explainable AI: A Framework to Address the Gap in XAI,Association for Computing Machinery (ACM),2023,"Explainable AI (XAI) systems are sociotechnical in nature; thus, they are subject to the sociotechnical gap-divide between the technical affordances and the social needs. However, charting this gap is challenging. In the context of XAI, we argue that charting the gap improves our problem understanding, which can reflexively provide actionable insights to improve explainability. Utilizing two case studies in distinct domains, we empirically derive a framework that facilitates systematic charting of the sociotechnical gap by connecting AI guidelines in the context of XAI and elucidating how to use them to address the gap. We apply the framework to a third case in a new domain, showcasing its affordances. Finally, we discuss conceptual implications of the framework, share practical considerations in its operationalization, and offer guidance on transferring it to new contexts. By making conceptual and practical contributions to understanding the sociotechnical gap in XAI, the framework expands the XAI design space.",7,CSCW1,1-32,['2573-0142'],"[{'given': 'Upol', 'orcid': '0000-0002-4911-0409', 'family': 'Ehsan', 'affiliation': 'Georgia Institute of Technology, Atlanta, GA, USA'}, {'given': 'Koustuv', 'orcid': '0000-0002-8872-2934', 'family': 'Saha', 'affiliation': 'Microsoft Research, Montreal, Canada'}, {'given': 'Munmun', 'orcid': '0000-0002-8939-264X', 'family': 'De Choudhury', 'affiliation': 'Georgia Institute of Technology, Atlanta, GA, USA'}, {'given': 'Mark O.', 'orcid': '0000-0001-5283-6588', 'family': 'Riedl', 'affiliation': 'Georgia Tech, Altanta, GA, USA'}]",15,0,15,0,43,0
10.1145/3579605,Explanations Can Reduce Overreliance on AI Systems During Decision-Making,Association for Computing Machinery (ACM),2023,"Prior work has identified a resilient phenomenon that threatens the performance of human-AI decision-making teams: overreliance, when people agree with an AI, even when it is incorrect. Surprisingly, overreliance does not reduce when the AI produces explanations for its predictions, compared to only providing predictions. Some have argued that overreliance results from cognitive biases or uncalibrated trust, attributing overreliance to an inevitability of human cognition. By contrast, our paper argues that people strategically choose whether or not to engage with an AI explanation, demonstrating empirically that there are scenarios where AI explanations reduce overreliance. To achieve this, we formalize this strategic choice in a cost-benefit framework, where the costs and benefits of engaging with the task are weighed against the costs and benefits of relying on the AI. We manipulate the costs and benefits in a maze task, where participants collaborate with a simulated AI to find the exit of a maze. Through 5 studies (N = 731), we find that costs such as task difficulty (Study 1), explanation difficulty (Study 2, 3), and benefits such as monetary compensation (Study 4) affect overreliance. Finally, Study 5 adapts the Cognitive Effort Discounting paradigm to quantify the utility of different explanations, providing further support for our framework. Our results suggest that some of the null effects found in literature could be due in part to the explanation not sufficiently reducing the costs of verifying the AI's prediction.",7,CSCW1,1-38,['2573-0142'],"[{'given': 'Helena', 'orcid': '0000-0002-6649-6905', 'family': 'Vasconcelos', 'affiliation': 'Stanford University, Stanford, CA, USA'}, {'given': 'Matthew', 'orcid': '0000-0003-2972-462X', 'family': 'Jörke', 'affiliation': 'Stanford University, Stanford, CA, USA'}, {'given': 'Madeleine', 'orcid': '0000-0001-7290-068X', 'family': 'Grunde-McLaughlin', 'affiliation': 'University of Washington, Seattle, WA, USA'}, {'given': 'Tobias', 'orcid': '0000-0002-9162-0779', 'family': 'Gerstenberg', 'affiliation': 'Stanford University, Stanford, CA, USA'}, {'given': 'Michael S.', 'orcid': '0000-0001-8020-9434', 'family': 'Bernstein', 'affiliation': 'Stanford University, Stanford, CA, USA'}, {'given': 'Ranjay', 'orcid': '0000-0001-8784-2531', 'family': 'Krishna', 'affiliation': 'University of Washington, Seattle, WA, USA'}]",30,5,24,1,136,0
10.1145/3593013.3594087,Towards a Science of Human-AI Decision Making: An Overview of Design Space in Empirical Human-Subject Studies,ACM,2023,,,,1369-1385,[],"[{'given': 'Vivian', 'orcid': '0000-0003-3165-6136', 'family': 'Lai', 'affiliation': 'University of Colorado Boulder, USA'}, {'given': 'Chacha', 'orcid': '0009-0000-6101-2150', 'family': 'Chen', 'affiliation': 'University of Chicago, USA'}, {'given': 'Alison', 'orcid': '0000-0002-6600-267X', 'family': 'Smith-Renner', 'affiliation': 'Dataminr Inc., USA'}, {'given': 'Q. Vera', 'orcid': '0000-0003-4543-7196', 'family': 'Liao', 'affiliation': 'Microsoft Research, Canada'}, {'given': 'Chenhao', 'orcid': '0000-0002-3981-2116', 'family': 'Tan', 'affiliation': 'University of Chicago, USA'}]",23,1,22,0,81,0
10.1145/3610219,Understanding the Role of Human Intuition on Reliance in Human-AI Decision-Making with Explanations,Association for Computing Machinery (ACM),2023,"AI explanations are often mentioned as a way to improve human-AI decision-making, but empirical studies have not found consistent evidence of explanations' effectiveness and, on the contrary, suggest that they can increase overreliance when the AI system is wrong. While many factors may affect reliance on AI support, one important factor is how decision-makers reconcile their own intuition---beliefs or heuristics, based on prior knowledge, experience, or pattern recognition, used to make judgments---with the information provided by the AI system to determine when to override AI predictions. We conduct a think-aloud, mixed-methods study with two explanation types (feature- and example-based) for two prediction tasks to explore how decision-makers' intuition affects their use of AI predictions and explanations, and ultimately their choice of when to rely on AI. Our results identify three types of intuition involved in reasoning about AI predictions and explanations: intuition about the task outcome, features, and AI limitations. Building on these, we summarize three observed pathways for decision-makers to apply their own intuition and override AI predictions. We use these pathways to explain why (1) the feature-based explanations we used did not improve participants' decision outcomes and increased their overreliance on AI, and (2) the example-based explanations we used improved decision-makers' performance over feature-based explanations and helped achieve complementary human-AI performance. Overall, our work identifies directions for further development of AI decision-support systems and explanation methods that help decision-makers effectively apply their intuition to achieve appropriate reliance on AI.",7,CSCW2,1-32,['2573-0142'],"[{'given': 'Valerie', 'orcid': '0009-0007-2783-0265', 'family': 'Chen', 'affiliation': 'Carnegie Mellon University, Pittsburgh, PA, USA'}, {'given': 'Q. Vera', 'orcid': '0000-0003-4543-7196', 'family': 'Liao', 'affiliation': 'Microsoft Research, Montreal, Canada'}, {'given': 'Jennifer', 'orcid': '0000-0002-7807-2018', 'family': 'Wortman Vaughan', 'affiliation': 'Microsoft Research, New York, NY, USA'}, {'given': 'Gagan', 'orcid': '0000-0002-7741-3861', 'family': 'Bansal', 'affiliation': 'Microsoft Research, Redmond, WA, USA'}]",19,0,19,0,68,0
10.1145/3613904.3642352,User Characteristics in Explainable AI: The Rabbit Hole of Personalization?,ACM,2024,,,,1-13,[],"[{'given': 'Robert', 'orcid': '0009-0006-5857-6469', 'family': 'Nimmo', 'affiliation': 'School of Computing Science, University of Glasgow, United Kingdom'}, {'given': 'Marios', 'orcid': '0000-0003-1454-0641', 'family': 'Constantinides', 'affiliation': 'Nokia Bell Labs, United Kingdom'}, {'given': 'Ke', 'orcid': '0000-0001-7177-9152', 'family': 'Zhou', 'affiliation': 'Nokia Bell Labs, United Kingdom'}, {'given': 'Daniele', 'orcid': '0000-0001-9461-5804', 'family': 'Quercia', 'affiliation': 'Nokia Bell Labs, United Kingdom'}, {'given': 'Simone', 'orcid': '0000-0001-6482-1973', 'family': 'Stumpf', 'affiliation': 'School of Computing Science, University of Glasgow, United Kingdom'}]",0,0,0,0,6,0
10.1145/3613904.3642398,A Scoping Study of Evaluation Practices for Responsible AI Tools: Steps Towards Effectiveness Evaluations,ACM,2024,"Responsible design of AI systems is a shared goal across HCI and AI communities. Responsible AI (RAI) tools have been developed to support practitioners to identify, assess, and mitigate ethical issues during AI development. These tools take many forms (e.g., design playbooks, software toolkits, documentation protocols). However, research suggests that use of RAI tools is shaped by organizational contexts, raising questions about how effective such tools are in practice. To better understand how RAI tools are-and might beevaluated, we conducted a qualitative analysis of 37 publications that discuss evaluations of RAI tools. We find that most evaluations focus on usability, while questions of tools' effectiveness in changing AI development are sidelined. While usability evaluations are an important approach to evaluate RAI tools, we draw on evaluation approaches from other fields to highlight developer-and communitylevel steps to support evaluations of RAI tools' effectiveness in shaping AI development practices and outcomes.CCS Concepts: • General and reference → Evaluation; • Human-centered computing → HCI design and evaluation methods; • Software and its engineering → Designing software.",,,1-24,[],"[{'given': 'Glen', 'orcid': '0000-0003-3249-0190', 'family': 'Berman', 'affiliation': 'School of Engineering, Australian National University, Australia'}, {'given': 'Nitesh', 'orcid': '0000-0002-4666-1926', 'family': 'Goyal', 'affiliation': 'Google Research, United States'}, {'given': 'Michael', 'orcid': '0000-0001-5772-0488', 'family': 'Madaio', 'affiliation': 'Google Research, United States'}]",0,0,0,0,15,0
10.1145/3613904.3642474,The Who in XAI: How AI Background Shapes Perceptions of AI Explanations,ACM,2024,,,,1-32,[],"[{'given': 'Upol', 'orcid': '0000-0002-4911-0409', 'family': 'Ehsan', 'affiliation': 'Interactive Computing, Georgia Institute of Technology, United States'}, {'given': 'Samir', 'orcid': '0000-0002-7921-3820', 'family': 'Passi', 'affiliation': 'Microsoft, United States'}, {'given': 'Q. Vera', 'orcid': '0000-0003-4543-7196', 'family': 'Liao', 'affiliation': 'Microsoft Research, Canada'}, {'given': 'Larry', 'orcid': '0000-0002-3882-713X', 'family': 'Chan', 'affiliation': 'Illumio, United States'}, {'given': 'I-Hsiang', 'orcid': '0000-0003-1261-7174', 'family': 'Lee', 'affiliation': 'School of Industrial &amp; Systems Engineering, Georgia Institute of Technology, United States'}, {'given': 'Michael', 'orcid': '0000-0001-7860-163X', 'family': 'Muller', 'affiliation': 'Human AI Collaboration, IBM Research, United States'}, {'given': 'Mark O', 'orcid': '0000-0001-5283-6588', 'family': 'Riedl', 'affiliation': 'Georgia Institute of Technology, United States'}]",2,0,2,0,22,0
10.1145/3613904.3642551,"``It Is a Moving Process"": Understanding the Evolution of Explainability Needs of Clinicians in Pulmonary Medicine",ACM,2024,,,,1-21,[],"[{'given': 'Lorenzo', 'orcid': '0000-0002-4200-1664', 'family': 'Corti', 'affiliation': 'Delft University of Technology, Netherlands'}, {'given': 'Rembrandt', 'orcid': '0009-0002-2928-9402', 'family': 'Oltmans', 'affiliation': 'Delft University of Technology, Netherlands'}, {'given': 'Jiwon', 'orcid': '0000-0002-0157-196X', 'family': 'Jung', 'affiliation': 'Delft University of Technology, Netherlands and Erasmus MC, University Medical Center Rotterdam, Netherlands'}, {'given': 'Agathe', 'orcid': '0000-0003-2725-5305', 'family': 'Balayn', 'affiliation': 'Delft University of Technology, Netherlands'}, {'given': 'Marlies', 'orcid': '0000-0002-4527-6962', 'family': 'Wijsenbeek', 'affiliation': 'Erasmus MC, University Medical Center Rotterdam, Netherlands'}, {'given': 'Jie', 'orcid': '0000-0002-0350-0313', 'family': 'Yang', 'affiliation': 'Delft University of Technology, Netherlands'}]",0,0,0,0,5,0
10.1145/3613904.3642733,Explorable Explainable AI: Improving AI Understanding for Community Health Workers in India,ACM,2024,,,,1-21,[],"[{'given': 'Ian René', 'orcid': '0000-0003-3641-2923', 'family': 'Solano-Kamaiko', 'affiliation': 'Cornell Tech, United States'}, {'given': 'Dibyendu', 'orcid': '0000-0003-3114-7278', 'family': 'Mishra', 'affiliation': 'Cornell University, United States'}, {'given': 'Nicola', 'orcid': '0000-0002-6119-705X', 'family': 'Dell', 'affiliation': 'Jacobs Institute, Cornell Tech, United States'}, {'given': 'Aditya', 'orcid': '0000-0001-5693-3326', 'family': 'Vashistha', 'affiliation': 'Cornell University, United States'}]",1,0,1,0,8,0
10.1145/3613905.3636311,Human-Centered Explainable AI (HCXAI): Reloading Explainability in the Era of Large Language Models (LLMs),ACM,2024,,,,1-6,[],"[{'given': 'Upol', 'orcid': '0000-0002-4911-0409', 'family': 'Ehsan', 'affiliation': 'Interactive Computing, Georgia Institute of Technology, United States'}, {'given': 'Elizabeth A', 'orcid': '0000-0002-1434-589X', 'family': 'Watkins', 'affiliation': 'Intelligent Systems Research (ISR), Intel Labs, United States'}, {'given': 'Philipp', 'orcid': '0000-0001-9287-3770', 'family': 'Wintersberger', 'affiliation': 'Department of Digital Media, University of Applied Sciences Upper Austria, Austria'}, {'given': 'Carina', 'orcid': '0000-0002-9813-0051', 'family': 'Manger', 'affiliation': 'Human-Computer Interaction Group, Technische Hochschule Ingolstadt, Germany'}, {'given': 'Sunnie S. Y.', 'orcid': '0000-0002-8901-7233', 'family': 'Kim', 'affiliation': 'Computer Science, Princeton University, United States'}, {'given': 'Niels', 'orcid': '0000-0001-5106-7692', 'family': 'Van Berkel', 'affiliation': 'Department of Computer Science, Aalborg University, Denmark'}, {'given': 'Andreas', 'orcid': '0000-0002-9174-8895', 'family': 'Riener', 'affiliation': 'Human-Computer Interaction Group, Technische Hochschule Ingolstadt, Germany'}, {'given': 'Mark O', 'orcid': '0000-0001-5283-6588', 'family': 'Riedl', 'affiliation': 'Georgia Institute of Technology, United States'}]",0,0,0,0,5,0
10.1145/3635113,AI Explainability and Acceptance: A Case Study for Underwater Mine Hunting,Association for Computing Machinery (ACM),2024,"In critical operational context such as Mine Warfare, Automatic Target Recognition (ATR) algorithms are still hardly accepted. The complexity of their decision-making hampers understanding of predictions despite performances approaching human expert ones. Much research has been done in Explainability Artificial Intelligence (XAI) field to avoid this ”black box” effect. This field of research attempts to provide explanations for the decision-making of complex networks to promote their acceptability. Most of the explanation methods applied on image classifier networks provide heat maps. These maps highlight pixels according to their importance in decision-making.
          In this work, we first implement different XAI methods for the automatic classification of Synthetic Aperture Sonar (SAS) images by convolutional neural networks (CNN). These different methods are based on a Post-Hoc approach. We study and compare the different heat maps obtained.
          Secondly, we evaluate the benefits and the usefulness of explainability in an operational framework for collaboration. To do this, different user tests are carried out with different levels of assistance ranging from classification for an unaided operator, to classification with explained ATR. These tests allow us to study whether heat maps are useful in this context.
          The results obtained show that the heat maps explanation have a disputed utility according to the operators. Heat map presence does not increase the quality of the classifications. On the contrary, it even increases the response time. Nevertheless, half of operators see a certain usefulness in heat maps explanation.",16,1,1-20,"['1936-1955', '1936-1963']","[{'given': 'Guy-Junior', 'orcid': '0000-0002-1249-0321', 'family': 'Richard', 'affiliation': 'Thales DMS, IMT Atlantique, Brest, FRANCE'}, {'given': 'Jérôme', 'orcid': '0009-0003-1600-0881', 'family': 'Habonneau', 'affiliation': 'Thales DMS, Brest, FRANCE'}, {'given': 'Didier', 'orcid': '0000-0002-3320-1234', 'family': 'Guériot', 'affiliation': 'IMT Atlantique, Brest, FRANCE'}, {'given': 'Jean-Marc', 'orcid': '0000-0001-9939-9231', 'family': 'Le Caillec', 'affiliation': 'IMT Atlantique, Brest, FRANCE'}]",2,1,1,0,3,0
10.1145/3637396,Seamful XAI: Operationalizing Seamful Design in Explainable AI,Association for Computing Machinery (ACM),2024,"Mistakes in AI systems are inevitable, arising from both technical limitations and sociotechnical gaps. While black-boxing AI systems can make the user experience seamless, hiding the seams risks disempowering users to mitigate fallouts from AI mistakes. Instead of hiding these AI imperfections, can we leverage them to help the user? While Explainable AI (XAI) has predominantly tackled algorithmic opaqueness, we propose that seamful design can foster AI explainability by revealing and leveraging sociotechnical and infrastructural mismatches. We introduce the concept of Seamful XAI by (1) conceptually transferring ""seams"" to the AI context and (2) developing a design process that helps stakeholders anticipate and design with seams. We explore this process with 43 AI practitioners and real end-users, using a scenario-based co-design activity informed by real-world use cases. We found that the Seamful XAI design process helped users foresee AI harms, identify underlying reasons (seams), locate them in the AI's lifecycle, learn how to leverage seamful information to improve XAI and user agency. We share empirical insights, implications, and reflections on how this process can help practitioners anticipate and craft seams in AI, how seamfulness can improve explainability, empower end-users, and facilitate Responsible AI.",8,CSCW1,1-29,['2573-0142'],"[{'given': 'Upol', 'orcid': '0000-0002-4911-0409', 'family': 'Ehsan', 'affiliation': 'Interactive Computing, Georgia Institute of Technology, Atlanta, GA, USA'}, {'given': 'Q. Vera', 'orcid': '0000-0003-4543-7196', 'family': 'Liao', 'affiliation': 'Microsoft Research, Montreal, QC, Canada'}, {'given': 'Samir', 'orcid': '0000-0002-7921-3820', 'family': 'Passi', 'affiliation': 'Microsoft, Redmond, WA, USA'}, {'given': 'Mark O.', 'orcid': '0000-0001-5283-6588', 'family': 'Riedl', 'affiliation': 'Georgia Institute of Technology, Altanta, GA, USA'}, {'given': 'Hal', 'orcid': '0000-0002-3760-345X', 'family': 'Daumé', 'affiliation': 'University of Maryland &amp; Microsoft Research, College Park, MD, USA'}]",0,0,0,0,5,0
10.1145/3706599.3719941,Exploring the Impact of Explainability in Large Language Model (LLM) Applications on User Experience,ACM,2025,,,,1-8,[],"[{'given': 'Yanyun', 'orcid': '0009-0009-3145-9678', 'family': 'Wang', 'affiliation': 'Alibaba Cloud computing, Hangzhou, China'}, {'given': 'Xumei', 'orcid': '0009-0004-6200-723X', 'family': 'Fang', 'affiliation': 'Alibaba Cloud Computing, Hangzhou, China'}, {'given': 'Zan', 'orcid': '0009-0006-6810-1416', 'family': 'Xu', 'affiliation': 'Alibaba Cloud computing, Hangzhou, China'}, {'given': 'Jianye', 'orcid': '0009-0003-2409-1250', 'family': 'Li', 'affiliation': 'Alibaba Cloud Computing, Beijing, China'}, {'given': 'Luping', 'orcid': '0009-0007-9377-8928', 'family': 'Wang', 'affiliation': 'Alibaba Cloud Computing, Hangzhou, China'}]",0,0,0,0,0,0
10.1145/3706599.3720036,"""Good"" XAI Design: For What? In Which Ways?",ACM,2025,,,,1-13,[],"[{'given': 'Lingqing', 'orcid': '0000-0001-5888-3545', 'family': 'Wang', 'affiliation': 'Georgia Institute of Technology, Atlanta, Georgia, USA'}, {'given': 'Yifan', 'orcid': '0000-0001-5261-3958', 'family': 'Liu', 'affiliation': 'Georgia Institute of Technology, Atlanta, Georgia, USA'}, {'given': 'Ashok K.', 'orcid': '0000-0003-4043-0614', 'family': 'Goel', 'affiliation': 'Designing Intelligence Lab, Georgia Institute of Technology, Atlanta, Georgia, USA'}]",0,0,0,0,0,0
10.1145/3706599.3721096,Explainability and Contestability for the Responsible Use of Public Sector AI,ACM,2025,,,,1-6,[],"[{'given': 'Timothée', 'orcid': '0009-0006-8276-4670', 'family': 'Schmude', 'affiliation': 'Faculty of Computer Science, Research Network Data Science, Doctoral School Computer Science, University of Vienna, Vienna, Austria'}]",0,0,0,0,0,0
