scopus,,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Korteling J.E.; van de Boer-Visschedijk G.C.; Blankendaal R.A.M.; Boonekamp R.C.; Eikelboom A.R.,"Korteling, J. E. (Hans). (6603173936); van de Boer-Visschedijk, G.C. (57198346024); Blankendaal, R.A.M. (56912371600); Boonekamp, R.C. (42061010500); Eikelboom, A.R. (23109970800)",6603173936; 57198346024; 56912371600; 42061010500; 23109970800,Human- versus Artificial Intelligence,2021,Frontiers in Artificial Intelligence,4,,622364,,,,253,10.3389/frai.2021.622364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108600226&doi=10.3389%2ffrai.2021.622364&partnerID=40&md5=581e7b935f20339b75092cc001b708a9,"AI is one of the most debated subjects of today and there seems little common understanding concerning the differences and similarities of human intelligence and artificial intelligence. Discussions on many relevant topics, such as trustworthiness, explainability, and ethics are characterized by implicit anthropocentric and anthropomorphistic conceptions and, for instance, the pursuit of human-like intelligence as the golden standard for Artificial Intelligence. In order to provide more agreement and to substantiate possible future research objectives, this paper presents three notions on the similarities and differences between human- and artificial intelligence: 1) the fundamental constraints of human (and artificial) intelligence, 2) human intelligence as one of many possible forms of general intelligence, and 3) the high potential impact of multiple (integrated) forms of narrow-hybrid AI applications. For the time being, AI systems will have fundamentally different cognitive qualities and abilities than biological systems. For this reason, a most prominent issue is how we can use (and “collaborate” with) these systems as effectively as possible? For what tasks and under what conditions, decisions are safe to leave to AI and when is human judgment required? How can we capitalize on the specific strengths of human- and artificial intelligence? How to deploy AI systems effectively to complement and compensate for the inherent constraints of human cognition (and vice versa)? Should we pursue the development of AI “partners” with human (-level) intelligence or should we focus more at supplementing human limitations? In order to answer these questions, humans working with AI systems in the workplace or in policy making have to develop an adequate mental model of the underlying ‘psychological’ mechanisms of AI. So, in order to obtain well-functioning human-AI systems, Intelligence Awareness in humans should be addressed more vigorously. For this purpose a first framework for educational content is proposed. © Copyright © 2021 Korteling, van de Boer-Visschedijk, Blankendaal, Boonekamp and Eikelboom.",artificial general intelligence; artificial intelligence; cognitive bias; cognitive complexity; human intelligence; human-AI collaboration; human-level artificial intelligence; narrow artificial intelligence,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85108600226
Park S.Y.; Kuo P.-Y.; Barbarin A.; Kaziunas E.; Chow A.; Singh K.; Wilcox L.; Lasecki W.S.,"Park, Sun Young (52864509600); Kuo, Pei-Yi (55800600600); Barbarin, Andrea (57189308738); Kaziunas, Elizabeth (37023365200); Chow, Astrid (58253871800); Singh, Karandeep (56531139000); Wilcox, Lauren (23040470800); Lasecki, Walter S. (54383728900)",52864509600; 55800600600; 57189308738; 37023365200; 58253871800; 56531139000; 23040470800; 54383728900,Identifying challenges and opportunities in human-AI collaboration in healthcare,2019,"Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW",,,,506,510,4,57,10.1145/3311957.3359433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076091592&doi=10.1145%2f3311957.3359433&partnerID=40&md5=33cd170342790cfd26067b51e6327e53,"The proposed workshop will identify research questions that will enable the field to uncover the types of work, labor relations, and social impacts that should be considered when designing AI-based healthcare technology. The workshop aims to outline key challenges, guidelines, and future agendas for the field, and provide collaboration opportunities for CSCW researchers, social scientists, AI researchers, clinicians, and relevant stakeholders in healthcare, to share their perspectives and co-create sociotechnical approaches to tackle timely issues related to AI and automation in healthcare work. © 2019 Copyright is held by the author/owner(s).",AI fairness; AI transparency; Algorithms; Artificial intelligence; Automation; Explainable AI; Healthcare; Machine learning; Sociotechnical systems,Algorithms; Artificial intelligence; Automation; Groupware; Health care; Interactive computer systems; Learning systems; Machine learning; Healthcare technology; Labor relations; Research questions; Social impact; Social scientists; Socio-technical approach; Sociotechnical systems; Economic and social effects,Conference paper,Final,,Scopus,2-s2.0-85076091592
de Regt A.; Gagnon E.,"de Regt, Anouk (55520009700); Gagnon, Elisa (57220835966)",55520009700; 57220835966,Rethinking how humans and machines make sense together,2020,"26th Americas Conference on Information Systems, AMCIS 2020",,,,,,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097714493&partnerID=40&md5=46cdf4e93fd21003ab722afa907036ca,"There is a growing realization of Artificial Intelligence (AI)'s importance, including its ability to provide competitive advantage and change work for the better. Indeed, organizations are investing in various AI applications in the hope to automate or augment human judgment. Despite the promise of AI, many organizations' efforts with it are falling short. Therefore, adopting sensemaking theory as a theoretical lens, this study is to investigate under which conditions and how human and machines collaborations should be structured, to enhance each other's capabilities and facilitate optimal strategical decision-making and operational effectiveness. Four types of human-machines interaction are proposed based on the level of complexity of the context and the severity of wrong decisions. Besides providing a new instrument for the analysis and assessment of human-AI interactions, this research aids the development of guidelines and facilitates the move towards explainable AI (XAI) design, development and practices. © 2020 26th Americas Conference on Information Systems, AMCIS 2020. All rights reserved.",Artificial Intelligence; Human-computer interactions; Sensemaking; XAI,Competition; Decision making; Decision theory; Information systems; Information use; AI applications; Competitive advantage; Human judgments; Human-machine; Operational effectiveness; Sense-making theory; Artificial intelligence,Conference paper,Final,,Scopus,2-s2.0-85097714493
Duin A.H.; Pedersen I.,"Duin, Ann Hill (6603386845); Pedersen, Isabel (55914987500)",6603386845; 55914987500,Working Alongside Non-Human Agents,2021,IEEE International Professional Communication Conference,2021-October,,,1,5,4,1,10.1109/ProComm52174.2021.00005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133010179&doi=10.1109%2fProComm52174.2021.00005&partnerID=40&md5=804d885d0763b75d2edcce8f422626ea,"We coexist with non-human AI agents, and we now must plan for human and non-human-agent teaming, for cooperation and collaboration, as a means to expand collaborative intelligence in our ongoing quest for user advocacy. For practice and experimentation, we provide links to current non-human agents. We then distinguish automation and autonomy, and discuss humanness design, teaming. A deeper understanding of usability and ethical considerations for working alongside these systems, deploying robots and building bonds and trust with nonhuman agents, begins with differentiation of automation and autonomy, human-autonomy teaming, and a humanness design approach as a means to prevent undesirable autonomy. While TPC scholarship attends to privacy, accountability, safety and security, and transparency and explainability, we need additional vigilance regarding fairness and non-discrimination, human control of technology, TPC professional responsibility, and continued promotion of human values as we work alongside non-human agents.  © 2021 IEEE.",artificial intelligence; autonomous agents; collaboration; non-human agents,Autonomous agents; Ethical technology; 'current; Collaboration; Design approaches; Ethical considerations; Human agent; Human control; Human-agent teaming; Non-human agent; Professional responsibilities; Safety and securities; Machine design,Conference paper,Final,,Scopus,2-s2.0-85133010179
Zhang Y.; Vera Liao Q.; Bellamy R.K.E.,"Zhang, Yunfeng (57201641915); Vera Liao, Q. (36095944800); Bellamy, Rachel K.E. (7006073277)",57201641915; 36095944800; 7006073277,Efect of confidence and explanation on accuracy and trust calibration in AI-assisted decision making,2020,"FAT* 2020 - Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency",,,,295,305,10,530,10.1145/3351095.3372852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079608746&doi=10.1145%2f3351095.3372852&partnerID=40&md5=b8faad3cd8a5ff4da0c33e9a645fb466,"Today, AI is being increasingly used to help human experts make decisions in high-stakes scenarios. In these scenarios, full automation is often undesirable, not only due to the signiicance of the outcome, but also because human experts can draw on their domain knowledge complementary to the model's to ensure task success. We refer to these scenarios as AI-assisted decision making, where the individual strengths of the human and the AI come together to optimize the joint decision outcome. A key to their success is to appropriately calibrate human trust in the AI on a case-by-case basis; knowing when to trust or distrust the AI allows the human expert to appropriately apply their knowledge, improving decision outcomes in cases where the model is likely to perform poorly. This research conducts a case study of AI-assisted decision making in which humans and AI have comparable performance alone, and explores whether features that reveal case-speciic model information can calibrate trust and improve the joint performance of the human and AI. Speciically, we study the efect of showing conidence score and local explanation for a particular prediction. Through two human experiments, we show that conidence score can help calibrate people's trust in an AI model, but trust calibration alone is not suicient to improve AI-assisted decision making, which may also depend on whether the human can bring in enough unique knowledge to complement the AI's errors. We also highlight the problems in using local explanation for AI-assisted decision making scenarios and invite the research community to explore new approaches to explainability for calibrating human trust in AI. © 2020 Copyright held by the owner/author(s). Publication rights licensed to the Association for Computing Machinery.",Conidence; Decision support; Explainable AI; Trust,Behavioral research; Calibration; Decision support systems; Transparency; Conidence; Decision outcome; Decision supports; Individual strength; Joint performance; Model informations; Research communities; Trust; Decision making,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85079608746
Zhang Z.T.; Liu Y.; Hussmann H.,"Zhang, Zelun Tony (57226128028); Liu, Yuanting (57207882809); Hussmann, Heinrich (23389275800)",57226128028; 57207882809; 23389275800,Forward reasoning decision support: Toward a more complete view of the human-ai interaction design space,2021,ACM International Conference Proceeding Series,,,,,,,4,10.1145/3464385.3464696,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112717719&doi=10.1145%2f3464385.3464696&partnerID=40&md5=d4472eb8e08f16cbb1e37240146f2b55,"Decision support systems based on AI are usually designed to generate complete outputs entirely automatically and to explain those to users. However, explanations, no matter how well designed, might not adequately address the output uncertainty of such systems in many applications. This is especially the case when the human-out-of-the-loop problem persists, which is a fundamental human limitation. There is no reason to limit decision support systems to such backward reasoning designs, though. We argue how more interactive forward reasoning designs where users are actively involved in the task can be effective in managing output uncertainty. We therefore call for a more complete view of the design space for decision support systems that includes both backward and forward reasoning designs. We argue that such a more complete view is necessary to overcome the barriers that hinder AI deployment especially in high-stakes applications.  © 2021 ACM.",Backward reasoning; Decision support; Explainability; Forward reasoning; Human-AI interaction; Intelligent systems; Output uncertainty; Transparency; User control,Computer applications; Computer programming; Backward reasoning; Decision supports; Design spaces; Forward reasoning; Human limitations; Interaction design; Decision support systems,Conference paper,Final,,Scopus,2-s2.0-85112717719
,,,"21st International Conference on Human-Computer Interaction, HCI International 2019",2019,Communications in Computer and Information Science,1033,,,,,1560,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069729608&partnerID=40&md5=e1a9861928d9585877e250cea8db233b,The proceedings contain 207 papers. The special focus in this conference is on Human-Computer Interaction. The topics include: Research on Evaluation Model of Social Game Advertising Effect Based on Eye Movement Experiment; towards a Narrative Driven Understanding of Games User Experience; Application of Archery to VR Interface; what Drives Female Players’ Continuance Intention to Play Mobile Games? The Role of Aesthetic and Narrative Design Factors; simultaneous Dialog Robot System; a Robot System Using Mixed Reality to Encourage Driving Review; self-learning Guide for Bioloid Humanoid Robot Assembly with Elements of Augmented Reality to Support Experiential Learning in Sauro Research Seeding; developing a Behavior Converter to Make a Robot Child-Like for Enhancing Human Utterances; can We Recognize Atmosphere as an Agent?: Pilot Study; design Strategies of Corporate Gamification Systems that Evokes Employee Motivation – Creative Process of Gathering Game Design Elements into Working System; GEC-HR: Gamification Exercise Companion for Home Robot with IoT; discussion on the Feasibility of Soft Actuator as an Assistive Tool for Seniors in Minimally Invasive Surgery; Recognition of Listener’s Nodding by LSTM Based on Movement of Facial Keypoints and Speech Intonation; AI-Based Technical Approach for Designing Mobile Decision Aids; human Learning in Data Science; How to Achieve Explainability and Transparency in Human AI Interaction; Data on RAILs: On Interactive Generation of Artificial Linear Correlated Data; adaptation of Machine Learning Frameworks for Use in a Management Environment: Development of a Generic Workflow; software to Support Layout and Data Collection for Machine-Learning-Based Real-World Sensors; phenomenology of Experience in Ambient Intelligence.,,,Conference review,Final,,Scopus,2-s2.0-85069729608
Chakraborti T.; Fadnis K.P.; Talamadupula K.; Dholakia M.; Srivastava B.; Kephart J.O.; Bellamy R.K.E.,"Chakraborti, Tathagata (41261182500); Fadnis, Kshitij P. (57202457861); Talamadupula, Kartik (25960433100); Dholakia, Mishal (57194716633); Srivastava, Biplav (55650207400); Kephart, Jeffrey O. (57192124884); Bellamy, Rachel K. E. (7006073277)",41261182500; 57202457861; 25960433100; 57194716633; 55650207400; 57192124884; 7006073277,Planning and visualization for a smart meeting room assistant,2019,AI Communications,32,1,,91,99,8,5,10.3233/AIC-180609,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063102217&doi=10.3233%2fAIC-180609&partnerID=40&md5=1cc6e6a82284b2bed6ed9fc9e918e9a1,"In this paper, we report on the planning and visualization capabilities of Mr.Jones-a proactive orchestrator and decision-support agent for a collaborative decision making setting embodied by a smart room. The duties of such an agent may range across interactive problem solving with other agents in the environment, developing automated summaries of meetings, visualization of the internal decision-making process, proactive data and resource management, and so on. Specifically, we focus on how the visualization of the planning and plan recognition processes forms a key component of the smart assistant, and establishes transparency in the decision-making process. We also highlight how these processes contribute to the proactive nature of the agent. We demonstrate some of these functionalities in a successful deployment of the system in the CEL-the Cognitive Environments Laboratory at IBM's T.J. Watson Research Center (Yorktown, USA), and report on emerging deployments of the system that have turned into success stories. © 2019-IOS Press and the authors. All rights reserved.",Explainable AI; human-in-the-loop; planning and decision-making; smart room; visualization,Data visualization; Decision support systems; Flow visualization; Information management; Problem solving; Visualization; Automated summaries; Collaborative decision making; Decision making process; Human-in-the-loop; Interactive problem solving; Planning and plan recognition; Resource management; Smart rooms; Decision making,Article,Final,,Scopus,2-s2.0-85063102217
Liao Q.V.; Gruen D.; Miller S.,"Liao, Q. Vera (36095944800); Gruen, Daniel (8521973800); Miller, Sarah (57219109515)",36095944800; 8521973800; 57219109515,Questioning the AI: Informing Design Practices for Explainable AI User Experiences,2020,Conference on Human Factors in Computing Systems - Proceedings,,,3376590,,,,571,10.1145/3313831.3376590,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082464591&doi=10.1145%2f3313831.3376590&partnerID=40&md5=9a22757e53129d30ce79c7a43eba8e61,"A surge of interest in explainable AI (XAI) has led to a vast collection of algorithmic work on the topic. While many recognize the necessity to incorporate explainability features in AI systems, how to address real-world user needs for understanding AI remains an open question. By interviewing 20 UX and design practitioners working on various AI products, we seek to identify gaps between the current XAI algorithmic work and practices to create explainable AI products. To do so, we develop an algorithm-informed XAI question bank in which user needs for explainability are represented as prototypical questions users might ask about the AI, and use it as a study probe. Our work contributes insights into the design space of XAI, informs efforts to support design practices in this space, and identifies opportunities for future XAI work. We also provide an extended XAI question bank and discuss how it can be used for creating user-centered XAI. © 2020 ACM.",explainable AI; human-AI interaction; user experience,Human engineering; Product design; AI systems; Design practice; Design practitioners; Design spaces; Question banks; Real-world; Support design; User-centered; User experience,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85082464591
Cai C.J.; Winter S.; Steiner D.; Wilcox L.; Terry M.,"Cai, Carrie J (57219528527); Winter, Samantha (57255647200); Steiner, David (57204607770); Wilcox, Lauren (23040470800); Terry, Michael (18937795900)",57219528527; 57255647200; 57204607770; 23040470800; 18937795900,Onboarding Materials as Cross-functional Boundary Objects for Developing AI Assistants,2021,Conference on Human Factors in Computing Systems - Proceedings,,,,,,,34,10.1145/3411763.3443435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105798197&doi=10.1145%2f3411763.3443435&partnerID=40&md5=be027bbbd6b2989896dbb34901106ac1,"Deep neural networks (DNNs) routinely achieve state-of-the-art performance in a wide range of tasks, but it can often be challenging for them to meet end-user needs in practice. This case study reports on the development of human-AI onboarding materials (i.e., training materials for users prior to using an AI) for a DNN-based medical AI Assistant to aid in the grading of prostate cancer. Specifically, we describe how the process of developing these materials changed the team's understanding of end-user requirements, contributing to modifications in the development and assessment of the underlying machine learning model. Importantly, we discovered that onboarding materials served as a useful boundary object for cross-functional teams, uncovering a new way to assess the ML model and specify its end-user requirements. We also present evidence of the utility of the onboarding materials by describing how it affected user strategies and decision-making with AI in a study deployment to pathologists. © 2021 Owner/Author.",AI transparency; boundary objects; explainability; machine learning,Decision making; Diseases; Grading; Human engineering; Boundary objects; Cross-functional; Cross-functional teams; End user requirements; Machine learning models; Prostate cancers; State-of-the-art performance; Training material; Deep neural networks,Conference paper,Final,,Scopus,2-s2.0-85105798197
Lima G.; Grgic-Hlaca N.; Cha M.,"Lima, Gabriel (57218770114); Grgic-Hlaca, Nina (57203397997); Cha, Meeyoung (24069708400)",57218770114; 57203397997; 24069708400,Human perceptions on moral responsibility of ai: A case study in ai-assisted bail decision-making,2021,Conference on Human Factors in Computing Systems - Proceedings,,,,,,,55,10.1145/3411764.3445260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002586046&doi=10.1145%2f3411764.3445260&partnerID=40&md5=35de86b8c3291a43f3f850128144c2a3,"How to attribute responsibility for autonomous artifcial intelligence (AI) systems' actions has been widely debated across the humanities and social science disciplines. This work presents two experiments (N=200 each) that measure people's perceptions of eight diferent notions of moral responsibility concerning AI and human agents in the context of bail decision-making. Using real-life adapted vignettes, our experiments show that AI agents are held causally responsible and blamed similarly to human agents for an identical task. However, there was a meaningful diference in how people perceived these agents' moral responsibility; human agents were ascribed to a higher degree of present-looking and forward-looking notions of responsibility than AI agents. We also found that people expect both AI and human decision-makers and advisors to justify their decisions regardless of their nature. We discuss policy and HCI implications of these fndings, such as the need for explainable AI in high-stakes scenarios. © 2021 ACM.",Ai; Bail decision-making; Blame; Compas; Liability; Moral judgment; Moral responsibility; Responsibility,Behavioral research; Ai; Bail decision-making; Blame; Compa; Decisions makings; Intelligence agents; Liability; Moral judgment; Moral responsibility; Responsibility; Decision making,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-105002586046
Watkins E.A.,"Watkins, Elizabeth Anne (57193833255)",57193833255,The Tension between Information Justice and Security: Perceptions of Facial Recognition Targeting,2021,CEUR Workshop Proceedings,2903,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110527290&partnerID=40&md5=4210af23d3b20cc0288d589a61bd2cc0,"In the discourse on human perceptions of algorithmic fairness, researchers have begun to analyze how these perceptions are shaped by sociotechnical context. In thinking through contexts of work, a half-century of research on organizational decision-making tells us that perceptions and interpretations made within these spaces are highly bounded by surrounding contextual constraints. In this paper I report early findings from a survey I conducted to bridge these two conversations, and scrutinize real-world perceptions of algorithmic decision-making in situ in a space of work. I analyze these perceptions through the case of facial recognition (or more accurately, facial verification) as account verification in gig work. In this survey I asked 100 Uber drivers, who all had been actually subjected to Uber's facial verification process known as Real Time Check ID, their fairness perceptions of this process. I designed the survey to elicit their perceptions across five disparate dimensions of justice: Informational, distributive, procedural, reciprocal, and interactional. I also asked them about their strategies for integrating Real Time Check ID into their work flow, including efforts at repair when the system breaks down and their potential preferences for subversive practices. Of those workers who report engaging in subversive tactics to avoid facial recognition, such as taking a picture of their car seat, their hand, or their passenger instead of their own face, one dimension of fairness elicited worse perceptions than any other: Informational justice, a.k.a. transparency, of facial recognition targeting (the process for deciding which workers trigger this extra layer of verification). This research reveals tensions between transparency, security, and workers' perceptions of the ""fairness""of an algorithmic system: While ""too much""transparency into how workers are targeted for verification may permit bad actors to defraud the system, ""too little""explanation, this research shows, is no solution either. Results have crucial implications for the allocation of transparency and the design of explanations in user-facing algorithmic fraud detection, which must address tensions between information justice and security. © 2020 Copyright for this paper by its authors.",Algorithmic fairness; Biometric; Explainability; Facial recognition; Facial verification; Security; Sociotechnical; Transparency,Decision making; Surveys; Transparency; User interfaces; Contextual constraints; Facial recognition; Fraud detection; Human perception; One dimension; Organizational decision making; Sociotechnical; Verification process; Face recognition,Conference paper,Final,,Scopus,2-s2.0-85110527290
Wang L.; Wang D.; Tian F.; Peng Z.; Fan X.; Zhang Z.; Ma S.; Yu M.; Ma X.; Wang H.,"Wang, Liuping (57203515967); Wang, Dakuo (57013823000); Tian, Feng (57202049684); Peng, Zhenhui (57202799508); Fan, Xiangmin (57202047305); Zhang, Zhan (55619663000); Ma, Shuai (57203514033); Yu, Mo (35174012000); Ma, Xiaojuan (56242668800); Wang, Hongan (57202272600)",57203515967; 57013823000; 57202049684; 57202799508; 57202047305; 55619663000; 57203514033; 35174012000; 56242668800; 57202272600,CASS: Towards Building a Social-Support Chatbot for Online Health Community,2021,Proceedings of the ACM on Human-Computer Interaction,5,CSCW1,3449083,,,,61,10.1145/3449083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104946162&doi=10.1145%2f3449083&partnerID=40&md5=c4fbd3194d600290ea4a2a55a177e6e9,"Chatbots systems, despite their popularity in today's HCI and CSCW research, fall short for one of the two reasons: 1) many of the systems use a rule-based dialog flow, thus they can only respond to a limited number of pre-defined inputs with pre-scripted responses; or 2) they are designed with a focus on single-user scenarios, thus it is unclear how these systems may affect other users or the community. In this paper, we develop a generalizable chatbot architecture (CASS) to provide social support for community members in an online health community. The CASS architecture is based on advanced neural network algorithms, thus it can handle new inputs from users and generate a variety of responses to them. CASS is also generalizable as it can be easily migrate to other online communities. With a follow-up field experiment, CASS is proven useful in supporting individual members who seek emotional support. Our work also contributes to fill the research gap on how a chatbot may influence the whole community's engagement.  © 2021 ACM.",ai deployment; bot; chatbot; conversational agent; emotional support; explainable ai; healthcare; human ai collaboration; human ai interaction; machine learning; neural network; online community; peer support; pregnancy; social support; system building; trustworthy ai,Human computer interaction; User interfaces; Emotional supports; Field experiment; Neural network algorithm; On-line communities; Online health communities; Rule based; Single users; Social support; Network architecture,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85104946162
Lu Z.; Huang P.; Dai P.; Liu Z.; Meng Z.,"Lu, Zhenyu (56411276300); Huang, Panfeng (8608333800); Dai, Pei (57188580314); Liu, Zhengxiong (24450548800); Meng, Zhongjie (24832186200)",56411276300; 8608333800; 57188580314; 24450548800; 24832186200,Enhanced transparency dual-user shared control teleoperation architecture with multiple adaptive dominance factors,2017,"International Journal of Control, Automation and Systems",15,5,,2301,2312,11,17,10.1007/s12555-016-0467-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028854913&doi=10.1007%2fs12555-016-0467-y&partnerID=40&md5=38461922fbb41ea49082dcef8b261624,"In traditional dual-user shared control teleoperation, the users’ operational transparency is influenced by the dominance factorα. Especially when α = 1 and α = 0 the trainer or trainee cannot receive any information form the slave side. For enlarging the control flexibility and enhancing the system transparency, a novel method with multiple adaptive dominance factors is proposed in this paper. An ideal application of this method is on-line operation and supervision. The supervisor and operator can adjust the factors and switch the operation roles and states freely. Once the slave robot handled by the operator diverges from the planned path, the dominance factors will change adaptive to limit the operator’s movement. The adaptive principles are concluded from the dynamic performance measured by the measuring functions. The conclusions suggest that the varying range of the system dynamic performance is wider than the traditional method. In addition, considering the time delays between the slave and master sides, we proved the system stability conditions covering all the range of dominance factors. Finally, we make a discussion of the applying area of the novel shared control architecture. © 2017, Institute of Control, Robotics and Systems and The Korean Institute of Electrical Engineers and Springer-Verlag GmbH Germany.",Multiple dominance factors; stability conditions; teleoperation; time delay; transparency,Delay control systems; Memory architecture; Remote control; System stability; Time delay; Transparency; Adaptive principles; Dynamic performance; Multiple dominance factors; Online operations; Planned paths; Shared control; Stability condition; System dynamic performance; Adaptive control systems,Article,Final,,Scopus,2-s2.0-85028854913
Arous I.; Dolamic L.; Yang J.; Bhardwaj A.; Cuccu G.; Cudré-Mauroux P.,"Arous, Ines (57209513113); Dolamic, Ljiljana (27067553800); Yang, Jie (56370016500); Bhardwaj, Akansha (57197825219); Cuccu, Giuseppe (35239509200); Cudré-Mauroux, Philippe (22333444100)",57209513113; 27067553800; 56370016500; 57197825219; 35239509200; 22333444100,MARTA: Leveraging Human Rationales for Explainable Text Classification,2021,"35th AAAI Conference on Artificial Intelligence, AAAI 2021",7,,,5868,5876,8,39,10.1609/aaai.v35i7.16734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129363314&doi=10.1609%2faaai.v35i7.16734&partnerID=40&md5=6178b212289c9d190ac2957aa14aef00,"Explainability is a key requirement for text classification in many application domains ranging from sentiment analysis to medical diagnosis or legal reviews. Existing methods often rely on “attention” mechanisms for explaining classification results by estimating the relative importance of input units. However, recent studies have shown that such mechanisms tend to mis-identify irrelevant input units in their explanation. In this work, we propose a hybrid human-AI approach that incorporates human rationales into attention-based text classification models to improve the explainability of classification results. Specifically, we ask workers to provide rationales for their annotation by selecting relevant pieces of text. We introduce MARTA, a Bayesian framework that jointly learns an attention-based model and the reliability of workers while injecting human rationales into model training. We derive a principled optimization algorithm based on variational inference with efficient updating rules for learning MARTA parameters. Extensive validation on real-world datasets shows that our framework significantly improves the state of the art both in terms of classification explainability and accuracy. Copyright © 2021,",,Classification (of information); Computer aided diagnosis; Inference engines; Applications domains; Attention mechanisms; Bayesian frameworks; Classification results; Learn+; Model training; Sentiment analysis; Text classification; Text classification models; Workers'; Sentiment analysis,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85129363314
Waefler T.; Schmid U.,"Waefler, Toni (6505641943); Schmid, Ute (56032455700)",6505641943; 56032455700,Explainability is not enough: Requirements for human-AI-partnership in complex socio-technical systems,2020,"Proceedings of the European Conference on the Impact of Artificial Intelligence and Robotics, ECIAIR 2020",,,,185,193,8,10,10.34190/EAIR.20.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097816886&doi=10.34190%2fEAIR.20.007&partnerID=40&md5=aa4d34561f5bd6ae88037960fcafd4cc,"Explainability has been recognized as an important requirement of artificial intelligence (AI) systems. Transparent decision policies and explanations regarding why an AI system comes about a certain decision is a pre-requisite if AI is supposed to support human decision-making or if human-AI collaborative decision-making is envisioned. Human-AI interaction and joint decision-making is required in many real-world domains, where risky decisions have to be made (e.g. medical diagnosis) or complex situations have to be assessed (e.g. states of machines or production processes). However, in this paper we theorize that explainability is necessary but not sufficient. Coming from the point of view of work psychology we argue that for the human part of the human-AI system much more is required than intelligibility. In joint human-AI decision-making a certain role is assigned to the human, which normally encompasses tasks such as (i) verifying AI based decision suggestions, (ii) improving AI systems, (iii) learning from AI systems, and (iv) taking responsibility for the final decision as well as for compliance with legislation and ethical standards. Empowering the human to take this demanding role requires not only human expertise but e.g. also human motivation, which is triggered by a suitable task design. Furthermore, at work humans normally do not take decisions as lonely wolves but in formal and informal cooperation with other humans. Hence, to design effective explainability and to empower for true human-AI collaborative decision-making, embedding human-AI dyads into a socio-technical context is necessary. Coming from theory, this paper presents system design criteria on different levels substantiated by work psychology. The criteria are described and confronted with a use case scenario of AI-supported medical decision making in the context of digital pathology. On this basis, the need for further research is outlined. © ECIAIR 2020.All right reserved.",Companion technology; Explainable AI; Human factors; Interactive learning; Motivation; Socio-technical systems,Agricultural robots; Behavioral research; Diagnosis; Regulatory compliance; Robotics; Collaborative decision making; Digital pathologies; Ethical standards; Human decision making; Joint decision making; Medical decision making; Production process; Sociotechnical systems; Decision making,Conference paper,Final,,Scopus,2-s2.0-85097816886
