ieee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Scalable Interactive Machine Learning for Future Command and Control,A. Madison; E. Novoseller; V. G. Goecks; B. T. Files; N. Waytowich; A. Yu; V. J. Lawhern; S. Thurman; C. Kelshaw; K. McDowell,"Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA; U.S. Mission Command Battle Lab, Futures Branch, Ft. Leavenworth, KS, USA; Humans in Complex Systems, U.S. DEVCOM Army Research Laboratory, Aberdeen Proving Ground, MD, USA",2024 International Conference on Military Communication and Information Systems (ICMCIS),5 Jun 2024,2024,,,1,10,"Future warfare will require Command and Control (C2) personnel to make decisions at shrinking timescales in complex and potentially ill-defined situations. Given the need for robust decision-making processes and decision-support tools, integration of artificial and human intelligence holds the potential to revolutionize the C2 operations process to ensure adaptability and efficiency in rapidly changing operational environments. We propose to leverage recent promising breakthroughs in interactive machine learning, in which humans can cooperate with machine learning algorithms to guide machine learning algorithm behavior. This paper identifies several gaps in state-of-the-art science and technology that future work should address to extend these approaches to function in complex C2 contexts. In particular, we describe three research focus areas that together, aim to enable scalable interactive machine learning (SIML): 1) developing human-AI interaction algorithms to enable planning in complex, dynamic situations; 2) fostering resilient human-AI teams through optimizing roles, configurations, and trust; and 3) scaling algorithms and human-AI teams for flexibility across a range of potential contexts and situations.",,979-8-3503-7319-6,10.1109/ICMCIS61231.2024.10540933,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10540933,Scalable Interactive Machine Learning;Artificial Intelligence;Human-AI Teaming;Command and Control,Command and control systems;Military communication;Machine learning algorithms;Heuristic algorithms;Human intelligence;Decision making;Machine learning,,3,,126,USGov,5 Jun 2024,,,IEEE,IEEE Conferences
Using Decision Support in Human-in-the-Loop Experimental Design Toward Building Trustworthy Autonomous Systems,J. M. Gregory; F. Sanchez; E. Lancaster; A. -A. Agha-Mohammadi; S. K. Gupta,"DEVCOM Army Research Laboratory, Adelphi, MD, USA; Booz Allen Hamilton, Washington, D.C., USA; Booz Allen Hamilton, Washington, D.C., USA; NASA Jet Propulsion Laboratory, Pasadena, CA, USA; Viterbi School of Engineering, University of Southern California, CA, USA",2023 32nd IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),13 Nov 2023,2023,,,205,212,"Experimental design of autonomous systems involves defining experimental inputs to maximize the experimenter’s information gained, minimize costs, and balance risk. This effectively leads to improved understanding and trustworthiness, which are necessary for deployment in realworld settings. Since experimental design is inherently a human-in-the-loop, sequential decision making problem, and decisions are being made about complex systems, an investigation into decision-making quality and decision-supporting methods is warranted. In this work, we investigate a decision support system (DSS) to augment the human’s experimental design decision making abilities, and conduct an exploratory user study to investigate the potential for decision support. Our findings show that experimenters, including experienced field roboticists, make suboptimal decisions and mistakes during the experimental design process, which suggests robotics research could benefit from DSSs. Our proposed DSS shows promise in some select aspects of experimental design, including helping to reduce suboptimal decisions, and participants in the user study reported favorable opinions of using such a system, including a sense of usefulness and lack of burden. The broader implication of this work is the identification of decision support in experimental design as one way to help bridge the gap between academia and industry by way of accelerated, informative experimentation and increased system explainability.",1944-9437,979-8-3503-3670-2,10.1109/RO-MAN57019.2023.10309571,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309571,,Decision support systems;Industries;Costs;Autonomous systems;Service robots;Buildings;Spread spectrum communication,,,,31,IEEE,13 Nov 2023,,,IEEE,IEEE Conferences
Cryptomining Detection in Container Clouds Using System Calls and Explainable Machine Learning,R. R. Karn; P. Kudva; H. Huang; S. Suneja; I. M. Elfadel,"Center for Cyber-Physical Systems, Khalifa University, Abu Dhabi, UAE; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; Center for Cyber-Physical Systems, Khalifa University, Abu Dhabi, UAE",IEEE Transactions on Parallel and Distributed Systems,26 Oct 2020,2021,32,3,674,691,"The use of containers in cloud computing has been steadily increasing. With the emergence of Kubernetes, the management of applications inside containers (or pods) is simplified. Kubernetes allows automated actions like self-healing, scaling, rolling back, and updates for the application management. At the same time, security threats have also evolved with attacks on pods to perform malicious actions. Out of several recent malware types, cryptomining has emerged as one of the most serious threats with its hijacking of server resources for cryptocurrency mining. During application deployment and execution in the pod, a cryptomining process, started by a hidden malware executable can be run in the background, and a method to detect malicious cryptomining software running inside Kubernetes pods is needed. One feasible strategy is to use machine learning (ML) to identify and classify pods based on whether or not they contain a running process of cryptomining. In addition to such detection, the system administrator will need an explanation as to the reason(s) of the ML's classification outcome. The explanation will justify and support disruptive administrative decisions such as pod removal or its restart with a new image. In this article, we describe the design and implementation of an ML-based detection system of anomalous pods in a Kubernetes cluster by monitoring Linux-kernel system calls (syscalls). Several types of cryptominers images are used as containers within an anomalous pod, and several ML models are built to detect such pods in the presence of numerous healthy cloud workloads. Explainability is provided using SHAP, LIME, and a novel auto-encoding-based scheme for LSTM models. Seven evaluation metrics are used to compare and contrast the explainable models of the proposed ML cryptomining detection engine.",1558-2183,,10.1109/TPDS.2020.3029088,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9215018,Cryptomining;docker;kubernetes;containers;machine learning;explainability;pod;anomaly,Containers;Cloud computing;Malware;Machine learning;Cryptocurrency;Data mining,,59,,93,CCBY,6 Oct 2020,,,IEEE,IEEE Journals
Effects of Robot Competency and Motion Legibility on Human Correction Feedback,S. Wang; A. Wang; S. Goncharova; B. Scassellati; T. Fitzgerald,"Yale University, New Haven, CT, USA; Yale University, New Haven, CT, USA; Phillips Exeter Academy, Exeter, NH, USA; Yale University, New Haven, CT, USA; Yale University, New Haven, CT, USA",2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),30 Apr 2025,2025,,,789,799,"As robot deployments become more commonplace, people are likely to take on the role of supervising robots (i.e., correcting their mistakes) rather than directly teaching them. Prior works on Learning from Corrections (LfC) have relied on three key assumptions to interpret human feedback: (1) people correct the robot only when there is significant task objective divergence; (2) people can accurately predict if a correction is necessary; and (3) people trade off precision and physical effort when giving corrections. In this work, we study how two key factors (robot competency and motion legibility) affect how people provide correction feedback and their implications on these existing assumptions. We conduct a user study $(N=60)$ under an LfC setting where participants supervise and correct a robot performing pick-and-place tasks. We find that people are more sensitive to suboptimal behavior by a highly competent robot compared to an incompetent robot when the motions are legible $(p=0.0015)$ and predictable $(p=0.0055)$. In addition, people also tend to withhold necessary corrections $(p < 0.0001)$ when supervising an incompetent robot and are more prone to offering unnecessary ones $(p=0.0171)$ when supervising a highly competent robot. We also find that physical effort positively correlates with correction precision, providing empirical evidence to support this common assumption. We also find that this correlation is significantly weaker for an incompetent robot with legible motions than an incompetent robot with predictable motions $(p=0.0075)$. Our findings offer insights for accounting for competency and legibility when designing robot interaction behaviors and learning task objectives from corrections.",,979-8-3503-7893-1,10.1109/HRI61500.2025.10974241,"National Science Foundation(grant numbers:IIS-2106690,IIS-1955653); Office of Naval Research(grant numbers:N00014-24-1-2124);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974241,Interactive Robot Learning;Learning from Corrections;Kinesthetic Teaching,Correlation;Education;Human-robot interaction;Robot sensing systems;Robot learning;Behavioral sciences;Reliability;Robots,,,,98,IEEE,30 Apr 2025,,,IEEE,IEEE Conferences
BeGREEN: Beyond 5G Energy Efficient Networking by Hardware Acceleration and AI-Driven Management of Network Functions,M. Ghoraishi; J. O. Sallent; M. Catalan-Cid; G. Bielsa; J. -F. Esteban-Rivas; V. Sark; J. G. Teran; S. Pryor,"Gigasys Solutions Ltd, UK; Universitat Politècnica de Catalunya, Spain; i2CAT Foundation, Barcelona, Spain; RAN Innovation Department, Telefonica, Spain; RAN Innovation Department, Telefonica, Spain; IHP GmbH - Innovations for High Performance Microelectronics, Germany; IHP GmbH - Innovations for High Performance Microelectronics, Germany; Accelleran, Belgium",2023 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),26 Jul 2023,2023,,,717,722,"This paper presents a technical overview of BeGREEN project, a Horizon Europe, Smart Networks and Services Joint-Undertaking (SNS-JU) Phase 1 project kicked off on January 1, 2023 [1]. This paper is intended to describe BeGREEN's technical scope and objectives. These objectives aim at improving energy efficiency of the beyond 5G (B5G) networks. BeGREEN technical agenda includes analysis of the combined energy and spectrum efficiency of the B5G networks, based on massive multiple-input-multiple-output (mMIMO) scenarios. The project proposes a novel architecture that includes several innovative solutions. An offloading engine is used for hardware acceleration that is a solution for compute-heavy physical layer processing in 5G new radio (5G NR) mMIMO and beyond to improve the processing performance and energy efficiency. The architecture also includes joint communication and sensing (JCAS) for improving energy efficiency of the physical layer functions by, e.g., efficient beam-search and beam tracking, and uses reconfigurable intelligent surfaces (RIS) as an enabler for JCAS. BeGreenproposes an artificial intelligence (AI)-assisted energy-aware “Intelligent Plane” as an additional plane along with user plane and data plane, that allows the data, model, and inference to be seamlessly exchanged between network functions. The project also proposes an AI Engine that is consist of an execution environment that can host AI models and will manage their lifecycle and access to data.",2575-4912,979-8-3503-1102-0,10.1109/EuCNC/6GSummit58263.2023.10188307,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10188307,Energy Efficiency;Beyond 5G;Hardware Acceleration;Intelligent Plane;O-RAN Based Interface;AI Engine,5G mobile communication;Computer architecture;Physical layer;Energy efficiency;Data models;Sensors;Artificial intelligence,,,,10,IEEE,26 Jul 2023,,,IEEE,IEEE Conferences
Holistic Explainability Requirements for End-to-End Machine Learning in IoT Cloud Systems,M. -L. Nguyen; T. Phung; D. -H. Ly; H. -L. Truong,"Department of Computer Science, Aalto University, Finland; Department of Computer Science, Aalto University, Finland; Department of Computer Science, Aalto University, Finland; Department of Computer Science, Aalto University, Finland",2021 IEEE 29th International Requirements Engineering Conference Workshops (REW),27 Oct 2021,2021,,,188,194,"End-to-end machine learning (ML) in Internet of Things (IoT) Cloud systems consists of multiple processes, covering data, model, and service engineering, and involves multiple stakeholders. Therefore, to be able to explain ML to relevant stakeholders, it is important to identify explainability requirements in a holistic manner. In this paper, we present our methodology to address explainability requirements for end-to-end ML in developing ML services to be deployed within IoT Cloud systems. We identify and classify explainability requirements engineering through (i) involvement of relevant stakeholders, (ii) end-to-end data, model, and service engineering processes, and (iii) multiple explainability aspects. We present our work with a case study of predictive maintenance for Base Transceiver Stations (BTS) in the telco domain.",,978-1-6654-1898-0,10.1109/REW53955.2021.00034,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582347,,Cloud computing;Conferences;Machine learning;Data models;Transceivers;Stakeholders;Requirements engineering,,7,,41,IEEE,27 Oct 2021,,,IEEE,IEEE Conferences
SAFEXPLAIN: Safe and Explainable Critical Embedded Systems Based on AI,J. Abella; J. Perez; C. Englund; B. Zonooz; G. Giordana; C. Donzella; F. J. Cazorla; E. Mezzetti; I. Serra; A. Brando; I. Agirre; F. Eizaguirre; T. H. Bui; E. Arani; F. Sarfraz; A. Balasubramaniam; A. Badar; I. Bloise; L. Feruglio; I. Cinelli; D. Brighenti; D. Cunial,"Barcelona Supercomputing Center, Spain; Ikerlan Technology Research Centre, Basque Research and Technology Alliance (BRTA), Spain; RISE Research Institutes of Sweden, Sweden; Navinfo Europe, The Netherlands; AIKO s.r.l., Italy; Exida Development s.r.l., Italy; Barcelona Supercomputing Center, Spain; Barcelona Supercomputing Center, Spain; Barcelona Supercomputing Center, Spain; Barcelona Supercomputing Center, Spain; Ikerlan Technology Research Centre, Basque Research and Technology Alliance (BRTA), Spain; Ikerlan Technology Research Centre, Basque Research and Technology Alliance (BRTA), Spain; RISE Research Institutes of Sweden, Sweden; Navinfo Europe, The Netherlands; Navinfo Europe, The Netherlands; Navinfo Europe, The Netherlands; Navinfo Europe, The Netherlands; AIKO s.r.l., Italy; AIKO s.r.l., Italy; AIKO s.r.l., Italy; Exida Engineering s.r.l., Italy; Exida Engineering s.r.l., Italy","2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)",2 Jun 2023,2023,,,1,6,"Deep Learning (DL) techniques are at the heart of most future advanced software functions in Critical Autonomous AI-based Systems (CAIS), where they also represent a major competitive factor. Hence, the economic success of CAIS industries (e.g., automotive, space, railway) depends on their ability to design, implement, qualify, and certify DL-based software products under bounded effort/cost. However, there is a fundamental gap between Functional Safety (FUSA) requirements on CAIS and the nature of DL solutions. This gap stems from the development process of DL libraries and affects high-level safety concepts such as (1) explainability and traceability, (2) suitability for varying safety requirements, (3) FUSA-compliant implementations, and (4) real-time constraints. As a matter of fact, the data-dependent and stochastic nature of DL algorithms clashes with current FUSA practice, which instead builds on deterministic, verifiable, and pass/fail test-based software. The SAFEXPLAIN project tackles these challenges and targets by providing a flexible approach to allow the certification - hence adoption - of DL-based solutions in CAIS building on: (1) DL solutions that provide end-to-end traceability, with specific approaches to explain whether predictions can be trusted and strategies to reach (and prove) correct operation, in accordance to certification standards; (2) alternative and increasingly sophisticated design safety patterns for DL with varying criticality and fault tolerance requirements; (3) DL library implementations that adhere to safety requirements; and (4) computing platform configurations, to regain determinism, and probabilistic timing analyses, to handle the remaining non-determinism.",1558-1101,979-8-3503-9624-9,10.23919/DATE56975.2023.10137128,Spanish Ministry of Science and Innovation(grant numbers:PID2019-107255GBC21/AEI/10.13039/501100011033);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137128,,Buildings;Software algorithms;Software;Rail transportation;Libraries;Safety;Timing,,3,,31,,2 Jun 2023,,,IEEE,IEEE Conferences
Safe Explainable Agents for Autonomous Navigation using Evolving Behavior Trees,N. Potteiger; X. Koutsoukos,"Department of Computer Science, Vanderbilt University, Nashville, TN, USA; Department of Computer Science, Vanderbilt University, Nashville, TN, USA",2023 IEEE International Conference on Assured Autonomy (ICAA),10 Aug 2023,2023,,,44,52,"Machine learning and reinforcement learning are increasingly used to solve complex tasks in autonomous systems. However, autonomous agents represented by large neural networks are not transparent leading to their assurability and trustworthiness becoming critical challenges. Large models also result in a lack of interpretability which causes severe obstacles related to trust in autonomous agents and human-machine teaming. In this paper, we leverage the hierarchical structure of behavior trees and hierarchical reinforcement learning to develop a neurosymbolic model architecture for autonomous agents. The proposed model, referred to as Evolving Behavior Trees (EBTs), integrates the required components to represent the learning tasks as well as the switching between tasks to achieve complex long-term goals. We design an agent for autonomous navigation and we evaluate the approach against a state-of-the-art hierarchical reinforcement learning method using a Maze Simulation Environment. The results show autonomous agents represented by EBTs can be trained efficiently. The approach incorporates explicit safety constraints into the model and incurs significantly fewer safety violations during training and execution. Further, the model provides explanations for the behavior of the autonomous agent by associating the state of the executing EBT with agent actions.",,979-8-3503-2601-7,10.1109/ICAA58325.2023.00014,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10207600,explainable AI;behavior trees;hierarchical reinforcement learning;autonomous navigation,Training;Navigation;Neural networks;Reinforcement learning;Switches;Autonomous agents;Safety,,2,,27,IEEE,10 Aug 2023,,,IEEE,IEEE Conferences
Synchronizing Innovation and Accountability in the Ethical Consequences of Artificial Intelligence,S. Yadav; N. Singh; K. V. R. Devi; G. Nijhawan; R. S. Zabibah; A. K,"CSE, Axis Institute of Technology and Management, Kanpur, U.P; IILM Institute of Higher Education, New Delhi, India; Institute of Aeronautical Engineering, Hyderabad; Lovely Professional University, Phagwara; Medical Laboratory Technology Department, College of Medical Technology, The Islamic University, Najaf Iraq, College of medicine, Jabir Ibn Hayyan medical university, Najaf; Department of Electronics and Communication Engineering, New Horizon College of Engineering, Bangalore","2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)",26 Feb 2024,2023,10,,397,402,"The technology known as artificial intelligence (AI) has great promise for transforming several facets of human existence. But the creation and application of AI can bring up certain ethical issues. Unfair results may result from AI systems that reflect or magnify societal prejudices already in place. An AI system that evaluates loan applications, for instance, may have prejudices against particular racial or ethnic groupings. AI-powered data collecting and surveillance gives rise to worries about possible abuse and invasions of personal privacy. AI systems may be used, for instance, to monitor our online and offline activities without our permission. AI's capacity to make decisions raises concerns about responsibility and unforeseen consequences. AI systems may be used, for instance, to decide who should be imprisoned or granted parole-decisions that might literally mean the difference between life and death. Many AI systems are opaque, making it challenging to evaluate their fairness, dependability, and potential for harm. For instance, humans could not be aware of the reasoning behind an AI system's decision-making, which might breed mistrust and abuse. AI has significant societal ramifications that might lead to social instability, economic inequality, and job displacement. AI may, for instance, result in widespread unemployment as robots replace humans in the workforce. The research can guarantee that AI is created and deployed in a responsible and ethical manner by addressing these ethical problems.",2687-7767,979-8-3503-8247-1,10.1109/UPCON59197.2023.10434644,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434644,Artificial intelligence (AI);Ethics;Bias and fairness;Privacy and surveillance;Autonomy and control;Transparency and explainability;Social impact and societal responsibility;Job displacement;Economic inequality;Social unrest,Ethics;Technological innovation;Surveillance;Synchronization;Stakeholders;Artificial intelligence;Unemployment,,4,,22,IEEE,26 Feb 2024,,,IEEE,IEEE Conferences
VADR: Discriminative Multimodal Explanations for Situational Understanding,H. Taylor; L. Hiley; J. Furby; A. Preece; D. Braines,"Crime and Security Research Institute, Cardiff University, Cardiff, UK; Crime and Security Research Institute, Cardiff University, Cardiff, UK; Crime and Security Research Institute, Cardiff University, Cardiff, UK; Crime and Security Research Institute, Cardiff University, Cardiff, UK; IBM Research, Hursley Park, Winchester, UK",2020 IEEE 23rd International Conference on Information Fusion (FUSION),10 Sep 2020,2020,,,1,8,"The focus of this paper is on the generation of multimodal explanations for information fusion tasks performed on multimodal data. We propose that separating modal components in saliency map explanations provides users with a better understanding of how convolutional neural networks process multimodal data. We adapt established state-of-the-art explainability techniques to mid-level fusion networks in order to better understand (a) which modality of the input contributes most to a model's decision and (b) which parts of the input data are most relevant to that decision. Our method separates temporal from non-temporal information to allow a user to focus their attention on salient elements of the scene that are changing in multiple modalities. The work is experimentally tested on an activity recognition task using video and audio data. In view of the fact that explanations need to be tailored to the type of user in a User Fusion context, we focus on meeting explanation requirements for system creators and operators respectively.",,978-0-578-64709-8,10.23919/FUSION45008.2020.9190215,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9190215,multimodal fusion;user fusion;explanation;audiovisual;situational understanding;human-agent teams,Task analysis;Data models;Streaming media;Activity recognition;Feature extraction;Government;Laboratories,,2,,26,,10 Sep 2020,,,IEEE,IEEE Conferences
Sensor Data Based System-Level Anomaly Prediction for Smart Manufacturing,J. Wang; C. Liu; M. Zhu; P. Guo; Y. Hu,"Department of Information Systems, University of Maryland, Baltimore County, Baltimore, MD, U.S.A; Cloud Computing Research Center, North China University of Technology, Beijing, China; Cloud Computing Research Center, North China University of Technology, Beijing, China; Department of Information Systems, University of Maryland, Baltimore County, Baltimore, MD, U.S.A; Cloud Computing Research Center, North China University of Technology, Beijing, China",2018 IEEE International Congress on Big Data (BigData Congress),11 Sep 2018,2018,,,158,165,"With the popularity of Supervisory Information System (SIS), Supervisory Control and Data Acquisition (SCADA) system and Internet of Things (IoT) sensors, we can easily obtain abundant sensor data in manufacturing. We could save manufacturing maintenance costs and prevent further damages if we can accurately predict system anomalies from the sensor data. Yet learning from individual sensors often cannot directly determine whether the system will have anomaly because each sensor only measures a partial state of a big system. By detecting events across sensors collectively and their temporal dependencies, this paper proposes a new system-level anomaly prediction framework by mining anomaly dependency graph from sensor data. The advantages of the approach include explainability, collective prediction and temporal sensitivity. We applied our approach with a real-world power plant dataset to evaluate its feasibility.",,978-1-5386-7232-7,10.1109/BigDataCongress.2018.00028,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457744,"Smart Manufacturing, Anomaly Prediction, Predictive Maintenance, Data Stream Mining, Sensor Data Driven",Predictive maintenance;Manufacturing;Anomaly detection;Time series analysis;Power generation,,22,,32,IEEE,11 Sep 2018,,,IEEE,IEEE Conferences
Working Alongside Non-Human Agents,A. H. Duin; I. Pedersen,"Writing Studies Department, College of Liberal Arts, University of Minnesota, Minneapolis, USA; Writing Studies Department, College of Liberal Arts, University of Minnesota, Minneapolis, USA",2021 IEEE International Professional Communication Conference (ProComm),13 Jun 2022,2021,,,1,5,"We coexist with non-human AI agents, and we now must plan for human and non-human-agent teaming, for cooperation and collaboration, as a means to expand collaborative intelligence in our ongoing quest for user advocacy. For practice and experimentation, we provide links to current non-human agents. We then distinguish automation and autonomy, and discuss humanness design, teaming. A deeper understanding of usability and ethical considerations for working alongside these systems, deploying robots and building bonds and trust with nonhuman agents, begins with differentiation of automation and autonomy, human-autonomy teaming, and a humanness design approach as a means to prevent undesirable autonomy. While TPC scholarship attends to privacy, accountability, safety and security, and transparency and explainability, we need additional vigilance regarding fairness and non-discrimination, human control of technology, TPC professional responsibility, and continued promotion of human values as we work alongside non-human agents.",2158-1002,978-1-6654-4327-2,10.1109/ProComm52174.2021.00005,Canada Research Chairs; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793412,artificial intelligence;autonomous agents;collaboration;non-human agents,Automation;Scholarships;Collaboration;Safety;Security;Artificial intelligence;Usability,,,,28,IEEE,13 Jun 2022,,,IEEE,IEEE Conferences
A Novel Interval Type-2 Fuzzy Classifier Based on Explainable Neural Network for Surface Electromyogram Gesture Recognition,S. Lv; Z. Li; J. Huang; P. Shi,"Institute of Advanced Technology, University of Science and Technology of China, Hefei, China; Department of Automation, University of Science and Technology of China, Hefei, China; Department of Automation, University of Science and Technology of China, Hefei, China; School of Electrical and Mechanical Engineering, The University of Adelaide, Adelaide, SA, Australia",IEEE Transactions on Human-Machine Systems,14 Dec 2023,2023,53,6,955,964,"The existing hand gesture classification research based on surface electromyogram (sEMG) faces the challenges of low classification accuracy, weak real-time ability, weak robustness, few categories, and lack of explainability. In this article, we investigate how to classify sEMG signals for grasp recognition and human–robot interaction to consider these issues. A novel interval type-2 (IT2) fuzzy classifier based on explainable neural network is proposed for sEMG gesture recognition. Based on fully connected neural network, the adaptive moment estimation is applied to tune the antecedent parameters. The Ninapro data is adopted to test the performance of the proposed model, which realizes recognition of 52 gestures and achieves 95.04% categorization accuracy. Moreover, grasping experiments are conducted on computer, communication, and consumer electronics (3C) experiment platform to test the ability of the classifier in real scenarios. The experiment recognizes six gestures. The results of the 3C grasping experiment show that the proposed method achieves 99.4% offline training accuracy as well as 96.07% online test accuracy. Meanwhile, 89.4% of the classification results can be obtained within 0.5 s. The overall results demonstrate great potential for real-world applications, such as human intent detection and manipulator control.",2168-2305,,10.1109/THMS.2023.3310524,"National Key Research and Development Program of China(grant numbers:2018AAA0102900,2021YFF0501600); National Natural Science Foundation of China(grant numbers:U22A2060); Major Science and Technology Projects of Anhui Province(grant numbers:202103a05020004);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10247642,Hand gesture classification;interval type-2 (IT2) fuzzy logic system;surface electromyogram (SEMG);teleoperation,Electromyography;Manipulators;Fuzzy sets;Man-machine systems;Linguistics;Input variables;Gesture recognition;Classification algorithms;Fuzzy logic;Teleoperators,,6,,32,IEEE,12 Sep 2023,,,IEEE,IEEE Journals
Toward Robots’ Behavioral Transparency of Temporal Difference Reinforcement Learning With a Human Teacher,M. Matarese; A. Sciutti; F. Rea; S. Rossi,"University of Genova and Italian Institute of Technology, Genova, Italy; Italian Institute of Technology, Genova, Italy; Italian Institute of Technology, Genova, Italy; University of Napoli Federico II, Napoli, Italy",IEEE Transactions on Human-Machine Systems,15 Nov 2021,2021,51,6,578,589,"The high request for autonomous human–robot interaction (HRI), combined with the potential of machine learning (ML) techniques, allow us to deploy ML mechanisms in robot control. However, the use of ML can make robots’ behavior unclear to the observer during the learning phase. Recently, transparency in HRI has been investigated to make such interactions more comprehensible. In this work, we propose a model to improve the transparency during reinforcement learning (RL) tasks for HRI scenarios: the model supports transparency by having the robot show nonverbal emotional-behavioral cues. Our model considered human feedback as the reward of the RL algorithm and it presents emotional-behavioral responses based on the progress of the robot learning. The model is managed only by the temporal-difference error. We tested the architecture in a teaching scenario with the iCub humanoid robot. The results highlight that when the robot expresses its emotional-behavioral response, the human teacher is able to understand its learning process better. Furthermore, people prefer to interact with an expressive robot as compared to a mechanical one. Movement-based signals proved to be more effective in revealing the internal state of the robot than facial expressions. In particular, gaze movements were effective in showing the robot's next intentions. In contrast, communicating uncertainty through robot movements sometimes led to action misinterpretation, highlighting the importance of balancing transparency and the legibility of the robot goal. We also found a reliable temporal window in which to register teachers’ feedback that can be used by the robot as a reward.",2168-2305,,10.1109/THMS.2021.3116119,Starting Grant from the European Research Council; European Union's Horizon 2020 research and innovation(grant numbers:804388);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580746,Human–robot interaction;humanoid robot;reinforcement learning (RL);social robotics;transparency,Humanoid robots;Reinforcement learning;Human-robot interaction,,18,,53,CCBY,19 Oct 2021,,,IEEE,IEEE Journals
A Novel Graphical Lasso Based Approach Towards Segmentation Analysis in Energy Game-Theoretic Frameworks,H. P. Das; I. C. Konstantakopoulos; A. B. Manasawala; T. Veeravalli; H. Liu; C. J. Spanos,"Department of Electrical Engineering and Computer Sciences, University of California, Berkeley; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley; Department of Industrial Engineering and Operations Research, University of California, Berkeley; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley",2019 18th IEEE International Conference On Machine Learning And Applications (ICMLA),17 Feb 2020,2019,,,1702,1709,"Energy game-theoretic frameworks have emerged to be a successful strategy to encourage energy efficient behavior in large scale by leveraging human-in-the-loop strategy. A number of such frameworks have been introduced over the years which formulate the energy saving process as a competitive game with appropriate incentives for energy efficient players. However, prior works involve an incentive design mechanism which is dependent on knowledge of utility functions for all the players in the game, which is hard to compute especially when the number of players is high, common in energy game-theoretic frameworks. Our research proposes that the utilities of players in such a framework can be grouped together to a relatively small number of clusters, and the clusters can then be targeted with tailored incentives. The key to above segmentation analysis is to learn the features leading to human decision making towards energy usage in competitive environments. We propose a novel graphical lasso based approach to perform such segmentation, by studying the feature correlations in a real-world energy social game dataset. To further improve the explainability of the model, we perform causality study using grangers causality. Proposed segmentation analysis results in characteristic clusters demonstrating different energy usage behaviors. We also present avenues to implement intelligent incentive design using proposed segmentation method.",,978-1-7281-4550-1,10.1109/ICMLA.2019.00277,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999336,"Segmentation Analysis, Energy Game-Theoretic Frameworks, Graphical Lasso, Smart Building",Games;Buildings;Decision making;Hidden Markov models;Clustering algorithms;Elbow;Distortion,,8,,32,IEEE,17 Feb 2020,,,IEEE,IEEE Conferences
